job_ix,subject,class_num,proc_time,instructor,venue,term,term_half,precedence,original_day,original_hour,subject_ix,venue_ix,original_day_ix,original_hour_ix,original_time_ix,release_date,deadline,track_avi,track_ba,track_fin,track_scl,track_uis,track_core
49,40.319,LS01,2,LN,1.203,ESD T7,2,2,TUE,1200,7,1,2,12,32,0,999,0,1,0,0,0,0
50,40.321,CS01,4,NAR,1.61,ESD T7,2,1,MON,1100,8,12,1,11,6,0,999,1,0,0,0,0,0
51,40.321,CS01,4,NAR,1.61,ESD T7,2,2,THU,1100,8,12,4,11,64,0,999,1,0,0,0,0,0
52,40.323,CS01,4,DSR,2.304,ESD T7,2,1,TUE,1300,9,17,2,13,34,0,999,0,0,1,0,0,0
53,40.323,CS01,4,DSR,2.304,ESD T7,2,2,THU,1300,9,17,4,13,68,0,999,0,0,1,0,0,0
54,1.104,CS01,4,(TAE) KC,2.304,TAE,1,1,TUE,1000,10,17,2,10,28,28,31,0,1,0,0,0,0
55,1.104,CS01,4,(TAE) KC,2.304,TAE,1,2,THU,900,10,17,4,9,60,60,63,0,1,0,0,0,0
56,1.107,CS01,4,(TAE) LC,2.31,TAE,1,1,TUE,1000,12,21,2,10,28,28,31,1,0,0,0,1,0
57,1.107,CS01,4,(TAE) LC,2.31,TAE,1,2,THU,900,12,21,4,9,60,60,63,1,0,0,0,1,0
58,1.104,CS01,4,(TAE) KC,2.304,TAE,2,1,TUE,1000,10,17,2,10,28,28,31,0,1,0,0,0,0
59,1.104,CS01,4,(TAE) KC,2.304,TAE,2,2,THU,900,10,17,4,9,60,60,63,0,1,0,0,0,0
60,1.107,CS01,4,(TAE) LC,2.31,TAE,2,1,TUE,1000,12,21,2,10,28,28,31,1,0,0,0,1,0
61,1.107,CS01,4,(TAE) LC,2.31,TAE,2,2,THU,900,12,21,4,9,60,60,63,1,0,0,0,1,0
62,1.104,CS01,4,(TAE) KC,2.304,TAE,2,1,TUE,1000,10,17,2,10,28,28,31,0,1,0,0,0,0
63,1.104,CS01,4,(TAE) KC,2.304,TAE,2,2,THU,900,10,17,4,9,60,60,63,0,1,0,0,0,0
64,1.106,CP01,4,(TAE) TTHD,1.509,TAE,2,2,THU,900,11,8,4,9,60,60,63,0,0,0,0,0,0
65,1.106,LP01,6,(TAE) TTHD,1.509,TAE,2,1,TUE,1000,11,8,2,10,28,28,33,0,0,0,0,0,0
66,1.107,CS01,4,(TAE) LC,2.31,TAE,2,1,TUE,1000,12,21,2,10,28,28,31,1,0,0,0,1,0
67,1.107,CS01,4,(TAE) LC,2.31,TAE,2,2,THU,900,12,21,4,9,60,60,63,1,0,0,0,1,0
68,1.111,CP01,6,(TAE) JH,2.405,TAE,2,1,TUE,1000,13,27,2,10,28,28,33,0,0,0,0,0,0
69,1.111,CP01,4,(TAE) JH,2.405,TAE,2,2,THU,900,13,27,4,9,60,60,63,0,0,0,0,0,0
