venue,venue_ix
1.203,1
1.409,2
1.410,3
1.415,4
1.416,5
1.415/1.416,6
1.508,7
1.509,8
1.510,9
1.520,10
1.521,11
1.610,12
1.611,13
1.612,14
1.616,15
1.617,16
2.304,17
2.305,18
2.307,19
2.308,20
2.310,21
2.311,22
2.313A,23
2.313B,24
2.403,25
2.404,26
2.405,27
2.412,28
2.413,29
2.503,30
2.504,31
2.503/2.504,32
2.505,33
2.506,34
2.507,35
2.518,36
2.519,37
2.605,38
2.616,39
